----------------------------------------------------------------------------------------------
GENESIS
----------------------------------------------------------------------------------------------

CHAPTER 1
Ge 1:1	In da beginning, God created da heavens n da earth--
Ge 1:2	Now da earth wuz formless n empty, n darkness wuz over da face of da deep. And da Spirit of God wuz hovering over da surface of da waters.
Ge 1:3	And God said, "Let there be light!" And there wuz light.
Ge 1:4	And God saw da light, dat 'twas aight, n God caused there 2 be a separation between da light n between da darkness.
Ge 1:5	And God called da light Day, n da darkness he called Night. And there wuz evening n there wuz mornin’, da 1st day. 

Ge 1:6	And God said, "Let there be a vaulted dome in da midst of da waters, n let it cause a separation between da waters."
Ge 1:7	So God made da vaulted dome, n he caused a separation between da waters which were under da vaulted dome n between da waters which were over da vaulted dome. And 'twas so.
Ge 1:8	And God called da vaulted dome "heaven." And there wuz evening, n there wuz mornin’, a 2nd day. 

Ge 1:9	And God said, "Let da waters under heaven be gathered 2 1 place, n let da dry ground appear." And 'twas so.
Ge 1:10	And God called da dry ground "earth," n he called da collection of da waters "seas." And God saw dat 'twas aight.
Ge 1:11	And God said, "Let da earth produce green plants dat’ll bear seed--fruit trees bearing fruit in which there’s seed--accordin’ 2 its kind, on da earth." And 'twas so.
Ge 1:12	And da earth brought forth green plants bearing seed accordin’ 2 its kind, n trees bearing fruit in which there wuz seed accordin’ 2 its kind. And God saw dat 'twas aight.
Ge 1:13	And there wuz evening n there wuz mornin’, a 3rd day. 

Ge 1:14	And God said, "Let there be lights in da vaulted dome of heaven 2 separate day from night, n let them be as signs n 4 appointed times, n 4 days n yrs,
Ge 1:15	n they’ll be as lights in da vaulted dome of heaven 2 give light on da earth." And 'twas so.
Ge 1:16	And God made 2 lights, da better light 2 rule da day n da smoler light 2 rule da night, n da stars.
Ge 1:17	And God placed them in da vaulted dome of heaven 2 give light on da earth
Ge 1:18	n 2 rule over da day n over da night, n 2 separate light from darkness. And God saw dat 'twas aight.
Ge 1:19	And there wuz evening n there wuz mornin’, a 4th day. 

Ge 1:20	And God said, "Let da waters swarm w swarms of livin’ creatures, n let birbs fly over da earth across da face of da vaulted dome of heaven.
Ge 1:21	So God created da great sea creatures n every livin’ creature dat moves, w which da waters swarm, accordin’ 2 their kind, n every birb w wings accordin’ 2 its kind. And God saw dat 'twas aight.
Ge 1:22	And God blessed them, sayin’, "Be fruitful n multiply, n fill da waters in da seas, n let da birbs multiply on da earth."
Ge 1:23	And there wuz evening, n there wuz mornin’, a 5th day. 

Ge 1:24	And God said, "Let da earth bring forth livin’ creatures accordin’ 2 their kind: cattle n moving tingz, n wild animals accordin’ 2 their kind." And 'twas so.
Ge 1:25	So God made wild animals accordin’ 2 their kind n da cattle accordin’ 2 their kind, n every creeping thang of da earth accordin’ 2 its kind. And God saw dat 'twas aight. 

Ge 1:26	And God said, "Let us make humankind in our image n accordin’ 2 our likeness, n let them rule over da fish of da sea, n over da birbs of heaven, n over da cattle, n over all da earth, n over every moving thang dat moves on da earth."
Ge 1:27	So God created humankind in his image, in da likeness of God he created him, male n female he created them.
Ge 1:28	And God blessed them, n God said 2 them, "Be fruitful n multiply, n fill da earth n subdue it, n rule over da fish of da sea n da birbs of heaven, n over every animal dat moves on da earth." 

Ge 1:29	And God said, "Look--im giving 2 u every plant dat bears seed which is on da face of da whole earth, n every kind of tree dat bears fruit. They will be urs as food."
Ge 1:30	And 2 every kind of animal of da earth n 2 every birb of heaven, n 2 everythin’ dat moves on da earth in which there’s lyf im giving every green plant as food." And 'twas so.
Ge 1:31	And God saw everythin’ dat he had made n, look, 'twas gud af. And there wuz evening, n there wuz mornin’, a 6th day. 


CHAPTER 2
Ge 2	
Ge 2:1	And heaven n earth n all their array were finished.
Ge 2:2	And on da 7th day God finished his work dat he had done, n he rested on da 7th day from all his work dat he had done.
Ge 2:3	And God blessed da 7th day, n he sanctified it, cuz on it he rested from all his work of creating dat there wuz 2 do. 

Ge 2:4	Deez r da gens of heaven n earth when they were created, in da day dat YHWH God made earth n heaven--
Ge 2:5	b4 any plant of da field wuz on earth, n b4 any plant of da field had sprung up, cuz YHWH God hadn't caused it 2 rain on da earth, n there wuz no human bein’ 2 cultivate da ground,
Ge 2:6	but a stream would rise from da earth n water da whole face of da ground--
Ge 2:7	when YHWH God formed da man of dust from da ground, n he blew into his nostrils da breath of lyf, n da man became a livin’ creature. 

Ge 2:8	And YHWH God planted a garden in Eden in da east, n there he put da man whom he had formed.
Ge 2:9	And YHWH God caused 2 grow every tree dat wuz pleasing 2 da sight n gud 4 food. And da tree of lyf wuz in da midst of da garden, along w da tree of da knowledge of gud n bad. 

Ge 2:10	Now a river flowed out from Eden dat watered da garden, n from there it diverged n became 4 branches.
Ge 2:11	Da name of da 1st is da Pishon. It went around all da land of Havilah, where there’s gold.
Ge 2:12	(Da gold of dat land is gud; bdellium n onyx stones r there.)
Ge 2:13	And da name of da 2nd is Gihon. It went around all da land of Cush.
Ge 2:14	And da name of da 3rd is Tigris. It flows east of Assyria. And da 4th river is da Euphrates. 

Ge 2:15	And YHWH God took da man n set him in da garden of Eden 2 cultivate it n 2 keep it.
Ge 2:16	And YHWH God commanded da man, sayin’, "From every tree of da garden u may freely eat,
Ge 2:17	but from da tree of da knowledge of gud n bad u will not eat, 4 in da day dat u eat from it u will ofc die." 

Ge 2:18	Then YHWH God said, "it isn’t gud dat da man is alone. i’ll make 4 him a helper as his counterpart."
Ge 2:19	And out of da ground YHWH God formed every beast of da field n every birb of da sky, n he brought each 2 da man 2 c wut he’d call it. And whatever da man called dat livin’ creature wuz its name.
Ge 2:20	And da man gave names 2 every domesticated animal n 2 da birbs of heaven n 2 all da wild animals. But 4 da man there wasn’t found a helper as his counterpart.
Ge 2:21	And YHWH God caused a deep sleep 2 fall on da man. While he slept, he took 1 of his ribs, n closed up da flesh where it had been.
Ge 2:22	And YHWH God fashioned da rib which he had taken from da man into a woman n brought her 2 da man.
Ge 2:23	And da man said, 
 "She is now bone from my bones n flesh from my flesh; she’ll be called 'Woman,' 4 she wuz taken from man."

Ge 2:24	So a man will leave his dad n his mom n will cling 2 his wife, n they’ll be as 1 flesh.
Ge 2:25	And da man n his wife, both of them, were nude, n they weren't ashamed. 


CHAPTER 3
Ge 3:1	Now da snek wuz more crafty than any other wild animal which YHWH God had made. He said 2 da woman, "Did God indeed say, 'U will not eat from any tree in da garden'?"
Ge 3:2	Da woman said 2 da snek, "From da fruit of da trees of da garden we may eat,
Ge 3:3	but from da tree dat’s in da midst of da garden, God said, 'U will not eat from it, nor will u touch it, lest u die'."
Ge 3:4	But da snek said 2 da woman, "U will not ofc die.
Ge 3:5	Cuz God knows dat on da day u both eat from it, then yo eyes gonna be opened n u both will be like gods, knowing gud n bad."
Ge 3:6	When da woman saw dat da tree wuz gud 4 food n dat 'twas a delight 2 da eyes, n da tree wuz desirable 2 make 1 woke, then she took from its fruit n she ate. And she gave it also 2 her husband w her, n he ate.
Ge 3:7	Then da eyes of both of them were opened, n they knew dat they were nude. And they sewed together fig leaves n they made 4 themselves coverings. 

Ge 3:8	Then they heard da sound of YHWH God walking in da garden at da windy time of day. And da man n his wife hid themselves from da presence of YHWH God among da trees of da garden.
Ge 3:9	And YHWH God called 2 da man n said 2 him, "Where r u?"
Ge 3:10	And he replied, "i heard da sound of u in da garden, n i wuz afraid cuz im nude, so i hid myself."
Ge 3:11	Then he asked, "Who told u dat u were nude? Hav u eaten from da tree from which i forbade u 2 eat?"
Ge 3:12	And da man replied, "Da woman whom u gave 2 be w me--she gave 2 me from da tree n i ate."
Ge 3:13	Then YHWH God said 2 da woman, "Wut is dis u hav done?" And da woman said, "Da snek deceived me, n i ate."
Ge 3:14	Then YHWH God said 2 da snek, 
 "Cuz u hav done dis, u gonna be cursed more than any domesticated animal n more than any wild animal. On yo belly u will go n dust u will eat all da days of yo lyf.
Ge 3:15	And i’ll put hostility between u n between da woman, n between yo offspring n between her offspring; he’ll hit u on da head, n u will hit him on da heel."

Ge 3:16	2 da woman he said, 
 "i’ll greatly increase yo pain in childbearing; in pain u will bear kids. And 2 yo husband will be yo desire. And he’ll rule over u."

Ge 3:17	And 2 Adam he said, "Cuz u listened 2 da voice of yo wife n u ate from da tree from which i forbade u 2 eat, 
 da ground will be cursed on yo account. In pain u will eat from it all da days of yo lyf.
Ge 3:18	And thorns n thistles will sprout 4 u, n u will eat da plants of da field.
Ge 3:19	By da sweat of yo brow u will eat bread, until yo return 2 da ground. Cuz from it u were taken; 4 u r dust, n 2 dust u will return."

Ge 3:20	And da man named his wife Eve, cuz she wuz da mom of all lyf.
Ge 3:21	And YHWH God made 4 Adam n 4 his wife garments of skin, n he clothed them. 

Ge 3:22	And YHWH God said, "Look--da man haz become as 1 of us, 2 kno gud n bad. Wut if he stretches out his hand n takes also from da tree of lyf n eats, n lives 4ever?"
Ge 3:23	And YHWH God sent him out from da garden of Eden, 2 till da ground from which he wuz taken.
Ge 3:24	So he drove da man out, n placed cherubim east of da garden of Eden, n a flaming, turning sword 2 guard da wae 2 da tree of lyf. 


CHAPTER 4
Ge 4:1	Now Adam knew Eve his wife, n she conceived n bore Cain. And she said, "i’ve given birth 2 a man w da help of YHWH."
Ge 4:2	Then she bore his bro Abel. And Abel became a keeper of sheep, n Cain became a tiller of da ground.
Ge 4:3	And in da course of time Cain brought an offering from da fruit of da ground 2 YHWH,
Ge 4:4	n Abel also brought an offering from da choicest firstlings of his flock. And YHWH looked w favor 2 Abel n 2 his offering,
Ge 4:5	but 2 Cain n 2 his offering he didn't look w favor. And Cain became angry af, n his face fell.
Ge 4:6	And YHWH said 2 Cain, "Y r u angry, n y is yo face fallen?
Ge 4:7	If u do well will i not accept u? But if u don’t do well, sin is crouching at da door. And its desire is 4 u, but u must rule over it." 

Ge 4:8	Then Cain said 2 his bro Abel, "Let us go out into da field." And when they were in da field, Cain rose up against his bro Abel n killed him.
Ge 4:9	Then YHWH said 2 Cain, "Where is Abel yo bro?" And he said, "idk; am i my bro's keeper?"
Ge 4:10	And he said, "Wut hav u done? Da voice of yo bro's blood is crying out 2 me from da ground.
Ge 4:11	So now u r cursed from da ground, which haz opened its mouth 2 get da blood of yo bro from yo hand.
Ge 4:12	When u till da ground it’ll no longer yield its strength 2 u. U will be a wanderer n a fugitive on da earth."
Ge 4:13	And Cain said 2 YHWH, "My punishment is better than i can bear.
Ge 4:14	Look, u hav driven me out 2day from da face of da ground, n from yo face i must hide. i gonna be a wanderer n a fugitive on da earth, n it’ll happen dat whoever finds me will kill me."
Ge 4:15	Then YHWH said 2 him, "So, whoever kills Cain gonna be avenged sevenfold." Then YHWH put a sign on Cain so dat whoever found him would not kill him.
Ge 4:16	And Cain went out from da presence of YHWH, n he settled in da land of Nod, east of Eden. 

Ge 4:17	And Cain knew his wife, n she conceived n gave birth 2 Enoch. And when he built a city he named da city after his son, Enoch.
Ge 4:18	And 2 Enoch wuz born Irad, n Irad fathered Mehujael, n Mehujael fathered Methushael, n Methushael fathered Lamech.
Ge 4:19	And Lamech took 2 himself 2 wives. Da name of da 1st wuz Adah, n da name of da 2nd wuz Zillah.
Ge 4:20	And Adah gave birth 2 Jabal; he wuz da dad of those who live in tents n those who hav livestock.
Ge 4:21	And da name of his bro wuz Jubal; he wuz da dad of all who play stringed instruments n wind instruments.
Ge 4:22	Then Zillah also gave birth 2 Tubal-Cain who forged all kinds of tools of bronze n iron. And da sister of Tubal-Cain wuz Naamah. 

Ge 4:23	Then Lamech said 2 his wives, 
 "Adah n Zillah, listen 2 my voice; O wives of Lamech, hear my words. i’ve killed a man 4 wounding me, Even a yung man 4 injuring me.
Ge 4:24	If Cain is avenged sevenfold, Then Lamech gonna be avenged seventy n 7 times.

Ge 4:25	Then Adam knew his wife again, n she gave birth 2 a son. And she called his name Seth, 4 she said "God haz appointed 2 me anotha kid in da place of Abel, cuz Cain killed him."
Ge 4:26	And as 4 Seth, he also fathered a son, n he called his name Enosh. At dat time he began 2 call on da name of YHWH. 


CHAPTER 5
Ge 5:1	Dis is da record of da gens of Adam. When God created Adam, he made him in da likeness of God.
Ge 5:2	Male n female he created them. And he blessed them. And he called their name "Humankind" when they were created.
Ge 5:3	And when Adam had lived 1 hundred n thirty yrs, he fathered a kid in his likeness, accordin’ 2 his image. And he called his name Seth.
Ge 5:4	And da days of Adam after he fathered Seth were 8 hundred yrs. And he fathered sons n daughters.
Ge 5:5	And all da days of Adam which he lived were 9 hundred n thirty yrs, n he died. 

Ge 5:6	When Seth had lived 1 hundred n 5 yrs, he fathered Enosh.
Ge 5:7	And after Seth had fathered Enosh he lived 8 hundred n 7 yrs, n fathered sons n daughters.
Ge 5:8	And all da days of Seth were 9 hundred n 12 yrs, n he died. 

Ge 5:9	When Enosh lived ninety yrs, he fathered Kenan.
Ge 5:10	And after Enosh fathered Kenan he lived 8 hundred n 15 yrs, n fathered sons n daughters.
Ge 5:11	And all da days of Enosh were 9 hundred n 5 yrs, n he died. 

Ge 5:12	When Kenan had lived seventy yrs, he fathered Mahalalel.
Ge 5:13	And after Kenan had fathered Mahalalel, he lived 8 hundred n forty yrs, n fathered sons n daughters.
Ge 5:14	And all da days of Kenan were 9 hundred n 10 yrs, n he died. 

Ge 5:15	When Mahalalel had lived sixty-5 yrs, he fathered Jared.
Ge 5:16	And after Mahalalel had fathered Jared, he lived 8 hundred n thirty yrs, n fathered sons n daughters.
Ge 5:17	And all da days of Mahalalel were 8 hundred n ninety-5 yrs, n he died. 

Ge 5:18	When Jared had lived 1 hundred n sixty-2 yrs, he fathered Enoch.
Ge 5:19	And after Jared had fathered Enoch, he lived 8 hundred yrs, n fathered sons n daughters.
Ge 5:20	And all da days of Jared were 9 hundred n sixty-2 yrs, n he died. 

Ge 5:21	When Enoch had lived sixty-5 yrs, he fathered Methuselah.
Ge 5:22	And Enoch walked w God after he fathered Methuselah 3 hundred yrs, n fathered sons n daughters.
Ge 5:23	And all da days of Enoch were 3 hundred n sixty-5 yrs.
Ge 5:24	And Enoch walked w God, n he wuz no more, 4 God took him. 

Ge 5:25	When Methuselah had lived 1 hundred n eighty-7 yrs, he fathered Lamech.
Ge 5:26	And after Methuselah had fathered Lamech, he lived 7 hundred n eighty-2 yrs, n fathered sons n daughters.
Ge 5:27	And all da days of Methuselah were 9 hundred n sixty-9 yrs, n he died. 

Ge 5:28	When Lamech had lived 1 hundred n eighty-2 yrs, he fathered a son.
Ge 5:29	And he called his name Noah, sayin’, "Dis 1 will relieve us from our work, n from da hard labor of our hands, from da ground which YHWH had cursed.
Ge 5:30	And after Lamech had fathered Noah he lived 5 hundred n ninety-5 yrs, n he fathered sons n daughters.
Ge 5:31	All da days of Lamech were 7 hundred n seventy-7 yrs, n he died. 

Ge 5:32	When Noah wuz 5 hundred yrs old, Noah fathered Shem, Ham, n Japheth. 


CHAPTER 6
Ge 6:1	And it happened dat, when humankind began 2 multiply on da face of da ground, daughters were born 2 them.
Ge 6:2	Then da sons of God saw da daughters of humankind, dat they were beautiful. And they took 4 themselves wives from all dat they chose.
Ge 6:3	And YHWH said, "My Spirit will not abide w humankind 4ever in dat he’s also flesh. And his days will be 1 hundred n 20 yrs."
Ge 6:4	Da Nephilim were on da earth in those days, n also afterward, when da sons of God went into da daughters of humankind, n they bore kids 2 them. 

Ge 6:5	And YHWH saw dat da bad of humankind wuz great on da earth, n every inclination of da thoughts of his heart wuz always only bad.
Ge 6:6	And YHWH regretted dat he had made humankind on da earth, n he wuz grieved in his heart.
Ge 6:7	And YHWH said, "i’ll destroy humankind whom i created from on da face of da earth, from humankind, 2 animals, 2 creeping tingz, n 2 da birbs of heaven, cuz i regret dat i’ve made them."
Ge 6:8	But Noah found favor in da eyes of YHWH. 

Ge 6:9	Deez r da gens of Noah. Noah wuz a gud man, without defect in his gens. Noah walked w God.
Ge 6:10	And Noah fathered 3 sons: Shem, Ham, n Japheth.
Ge 6:11	And da earth wuz corrupted b4 God, n da earth wuz filled w violence.
