----------------------------------------------------------------------------------------------
JOHN
----------------------------------------------------------------------------------------------

CHAPTER 1
Jn 1:1	In da beginning wuz da Word, n da Word wuz w God, n da Word wuz God.
Jn 1:2	Dis 1 wuz in da beginning w God.
Jn 1:3	All tingz came into bein’ thru him, n apart from him not 1 thang came into bein’ dat’s come into bein’.
Jn 1:4	In him wuz lyf, n da lyf wuz da light of humanity.
Jn 1:5	And da light shines in da darkness, n da darkness didn't overcome it. 

Jn 1:6	A man came, sent from God, whose name wuz Johnny.
Jn 1:7	Dis 1 came 4 a witness, so dat he could testify 'bout da light, so dat all would believe thru him.
Jn 1:8	Dat 1 wasn’t da light, but came so dat he could testify 'bout da light.
Jn 1:9	Da tru light, who gives light 2 every person, wuz comin’ into da world.
Jn 1:10	He wuz in da world, n da world came into bein’ thru him, n da world didn't recognize him.
Jn 1:11	He came 2 his own tingz, n his own ppl didn't get him.
Jn 1:12	But as many as received him--2 those who believe in his name--he gave 2 them authority 2 become kids of God,
Jn 1:13	who were born not of blood, nor of da will of da flesh, nor of da will of a husband, but of God. 

Jn 1:14	And da Word became flesh n took up rez among us, n we saw his glory, glory as of da 1 n only from da Dad, full of grace n truth.
Jn 1:15	Johnny testified 'bout him n cried out, sayin’, "Dis 1 wuz he 'bout whom i said, 'Da 1 who comes after me is ahead of me, cuz he existed b4 me.'"
Jn 1:16	Cuz from his fullness we've all received, n grace after grace.
Jn 1:17	Cuz da law wuz given thru Moe; grace n truth came 'bout thru JC.
Jn 1:18	No 1 haz seen God at any time; da 1 n only, God, da 1 who is in da bosom of da Dad--dat 1 haz made him known. 

Jn 1:19	And dis is da testimony of Johnny, when da Jews sent priests n Levites from Jerusalem so dat they could ask him, "Who r u?"
Jn 1:20	And he confessed--n he didn't deny, n confessed--"i ain’t da Christ!"
Jn 1:21	And they asked him, "Then who r u? R u Elijah?" And he said, "i ain’t!" "R u da Prophet?" And he answered, "No!"
Jn 1:22	Then they said 2 him, "Who r u, so dat we can give an answer 2 those who sent us? Wut do u say 'bout yoself?" 

Jn 1:23	He said, 
 "im 'da voice of 1 crying out in da wilderness, "Make straight da wae of da Lord," '
 just like Isaiah da prophet said."
Jn 1:24	(And they had been sent from da Pharisees.)
Jn 1:25	And they asked him n said 2 him, "Y then r u baptizin’, if u aren’t da Christ, nor Elijah, nor da Prophet?" 

Jn 1:26	Johnny answered them, sayin’, "i baptize w water. In yo midst stands 1 whom u dunno--
Jn 1:27	da 1 who comes after me, of whom i ain’t worthy 2 untie da strap of his sandal!"
Jn 1:28	Deez tingz took place in Bethany on da other side of da Jordan, where Johnny wuz baptizin’. 

Jn 1:29	On da next day he saw Jesus comin’ 2 him n said, "Look! Da Lamb of God who takes away da sin of da world!
Jn 1:30	Dis 1 is da 1 'bout whom i said, 'After me is comin’ a man who is ahead of me, cuz he existed b4 me.'
Jn 1:31	And i didn't kno him, but so dat he could be revealed 2 Israel, cuz of dis i came baptizin’ w water." 

Jn 1:32	And Johnny testified, sayin’, "i’ve seen da Spirit goin’ down like a dove from heaven n remaining on him.
Jn 1:33	And i didn't kno him, but da 1 who sent me 2 baptize w water, dat 1 said 2 me, 'Da 1 on whom u c da Spirit goin’ down n remaining on him--dis 1 is da 1 who baptizes w da Holy Spirit.'
Jn 1:34	And i’ve seen n testify dat dis 1 is da Chosen 1 of God. 

Jn 1:35	On da next day again Johnny wuz standing there, n 2 of his homeboys,
Jn 1:36	n looking at Jesus as he wuz walking by, he said, "Look! Da Lamb of God!"
Jn 1:37	And da 2 homies heard him talkin’, n they followed Jesus.
Jn 1:38	And Jesus, turning around n seeing them following him, said 2 them, "Wut do u seek?" And they said 2 him, "Rabbi" (which means when translated "Teacher"), "where r u stayin’?"
Jn 1:39	He said 2 them, "Come n u will c!" So they came n saw where he wuz stayin’, n they stayed w him dat day ('twas 'bout da 10th hr). 

Jn 1:40	Andrew, da bro of Simon Pete, wuz 1 of da 2 who heard Johnny n followed him.
Jn 1:41	Dis 1 1st found his own bro Simon n said 2 him, "We hav found da Messiah!" (which is translated "Christ").
Jn 1:42	He brought him 2 Jesus. Looking at him, Jesus said, "U r Simon da son of Johnny. U gonna be called Cephas" (which is interpreted "Pete"). 

Jn 1:43	On da next day he wanted 2 depart 4 Galilee, n he found Phil. And Jesus said 2 him, "Follow me!"
Jn 1:44	(Now Phil wuz from Bethsaida, da town of Andrew n Pete.)
Jn 1:45	Phil found Nathanael n said 2 him, "We hav found da 1 whom Moe wrote 'bout in da law, n da prophets wrote 'bout--Jesus son of Joey from Nazareth!"
Jn 1:46	And Nathanael said 2 him, "Can anythin’ gud come out of Nazareth?" Phil said 2 him, "Come n c!" 

Jn 1:47	Jesus saw Nathanael comin’ toward him n said 'bout him, "Look! A tru Israelite in whom is no deceit!"
Jn 1:48	Nathanael said 2 him, "From where do u kno me?" Jesus answered n said 2 him, "B4 Phil called u, when u were under da fig tree, i saw u."
Jn 1:49	Nathanael answered him, "Rabbi, u r da Son of God! U r da king of Israel!"
Jn 1:50	Jesus answered n said 2 him, "Cuz i said 2 u dat i saw u under da fig tree, do u believe? U will c better tingz than deez!"
Jn 1:51	And he said 2 him, "Fr, fr i tell all of u, u will c heaven opened n da angels of God goin’ up n goin’ down on da Son of Man." 


CHAPTER 2
Jn 2:1	And on da 3rd day, there wuz a wedding at Cana in Galilee, n da mom of Jesus wuz there.
Jn 2:2	And both Jesus n his homeboys were invited 2 da wedding.
Jn 2:3	And when da wine ran out, da mom of Jesus said 2 him, "They hav no wine!"
Jn 2:4	And Jesus said 2 her, "Wut does yo concern hav 2 do w me, woman? My hr hasn't yet come."
Jn 2:5	His mom said 2 da servants, "Whatever he says 2 u, do it!" 

Jn 2:6	Now 6 stone water jars were set there, in accordance w da ceremonial cleansing of da Jews, each holding 2 or 3 measures.
Jn 2:7	Jesus said 2 them, "Fill da water jars w water." And they filled them 2 da brim.
Jn 2:8	And he said 2 them, "Now draw some out n take it 2 da head steward. So they took it.
Jn 2:9	Now when da head steward tasted da water which had become wine n didn't kno where 'twas from--but da servants who had drawn da water knew--da head steward summoned da bridegroom
Jn 2:10	n said 2 him, "E’erybody serves da gud wine 1st, n whenever they’re drunk, da inferior. U hav kept da gud wine until now!"
Jn 2:11	Dis beginning of signs Jesus performed at Cana in Galilee, n revealed his glory, n his homeboys believed in him. 

Jn 2:12	After dis he went down 2 Capernaum, n his mom n bros n his homies, n they stayed there a few days.
Jn 2:13	And da Passover of da Jews wuz near, n Jesus went up 2 Jerusalem. 

Jn 2:14	And he found in da temple courts those who were selling oxen n sheep n doves, n da money changers seated.
Jn 2:15	And he made a whip of cords n drove them all out of da temple courts, both da sheep n da oxen, n he poured out da coins of da money changers n overturned their tables.
Jn 2:16	And 2 da ones selling da doves he said, "Take deez tingz away from here! Don’t make my Dad's house a marketplace!"
Jn 2:17	His homies remembered dat it’s written, "Zeal 4 yo house will consume me." 

Jn 2:18	So da Jews answered n said 2 him, "Wut sign do u show 2 us, cuz u r doin’ deez tingz?"
Jn 2:19	Jesus answered n said 2 them, "Destroy dis temple, n in 3 days i’ll raise it up!"
Jn 2:20	Then da Jews said, "Dis temple haz been under construction 46 yrs, n will u raise it up in 3 days?"
Jn 2:21	But he wuz talkin’ 'bout da temple of his body.
Jn 2:22	So when he wuz raised from da ded, his homies remembered dat he had said dis, n they believed da scripture n da sayin’ dat Jesus had spoken. 

Jn 2:23	Now while he wuz in Jerusalem at da Passover, during da feast, many believed in his name cuz they saw his signs which he wuz doin’.
Jn 2:24	But Jesus himself didn't entrust himself 2 them, cuz he knew all ppl,
Jn 2:25	n cuz he didn't need anyone 2 testify 'bout man, 4 he himself knew wut wuz in man. 


CHAPTER 3
Jn 3:1	Now there wuz a man of da Pharisees whose name wuz Nicodemus, a ruler of da Jews.
Jn 3:2	Dis man came 2 him at night n said 2 him, "Rabbi, we kno dat u r a teacher who haz come from God, 4 nobody is able 2 perform deez signs dat u r performing unless God were w him."
Jn 3:3	Jesus answered n said 2 him, "Fr, tbh, unless someone’s born from above, he’s not able 2 c da kingdom of God."
Jn 3:4	Nicodemus said 2 him, "How can a man be born when he’s an old man? He isn’t able 2 enter into his mom's womb 4 da 2nd time n be born, can he?" 

Jn 3:5	Jesus answered, "Fr, tbh, unless someone’s born of water n spirit, he’s not able 2 enter into da kingdom of God.
Jn 3:6	Wut is born of da flesh is flesh, n wut is born of da Spirit is spirit.
Jn 3:7	Don’t be shook dat i said 2 u, 'It’s necessary 4 u 2 be born from above.'
Jn 3:8	Da wind blows wherever it wishes, n u hear da sound of it, but u dunno where it comes from n where it’s goin’. So is e’erybody who is born of da Spirit." 

Jn 3:9	Nicodemus answered n said 2 him, "How can deez tingz be?"
Jn 3:10	Jesus answered n said 2 him, "R u da teacher of Israel, n u don’t understand deez tingz?
Jn 3:11	Fr, tbh, we talk wut we kno, n we testify 'bout wut we've seen, n u don’t accept our testimony!
Jn 3:12	If i tell u earthly tingz n u don’t believe, how’ll u believe if i tell u heavenly tingz?
Jn 3:13	And nobody haz gone up into heaven except da 1 who went down from heaven--da Son of Man.
Jn 3:14	And just like Moe lifted up da snek in da wilderness, so it’s necessary dat da Son of Man be lifted up,
Jn 3:15	so dat e’erybody who believes in him will hav lyf 4ever." 

Jn 3:16	Cuz in dis wae God luvd da world, so dat he gave his 1 n only Son, so dat e’erybody who believes in him won’t die, but will hav lyf 4ever.
Jn 3:17	Cuz God didn't send his Son into da world so dat he shud judge da world, but so dat da world shud be saved thru him.
Jn 3:18	Da 1 who believes in him isn’t judged, but da 1 who doesn't believe haz already been judged, cuz he hasn't believed in da name of da 1 n only Son of God.
Jn 3:19	And dis is da judgment: dat da light haz come into da world, n ppl luvd da darkness rather than da light, cuz their deeds were bad.
